id,energy_consumption,energy_effective,energy_waste
0,1031568299.0,751313580.0,280254719.0
1,1028615103.0,765485110.0,263129993.0
2,1029994142.0,771003850.0,258990292.0
3,1028392473.0,769941750.0,258450723.0
4,1021040615.0,756815030.0,264225585.0
5,1018154932.0,758825610.0,259329322.0
6,1015870893.0,755702580.0,260168313.0
7,1015815145.0,753855020.0,261960125.0
8,1009934093.0,750149830.0,259784263.0
9,1008993617.0,750449460.0,258544157.0
10,1007624895.0,748779170.0,258845725.0
11,1007082076.0,748506330.0,258575746.0
12,1006207665.0,749273170.0,256934495.0
13,1004086707.0,746832810.0,257253897.0
14,1004048878.0,746724890.0,257323988.0
15,1003871317.0,745048900.0,258822417.0
16,1001356865.0,738911140.0,262445725.0
17,994243746.0,732303890.0,261939856.0
18,994043017.0,731663970.0,262379047.0
19,993543095.0,731770750.0,261772345.0
20,993841564.0,730580210.0,263261354.0
21,993264355.0,729383780.0,263880575.0
22,992333291.0,728254230.0,264079061.0
23,990986651.0,728256320.0,262730331.0
24,988428940.0,722613700.0,265815240.0
25,987242485.0,722068970.0,265173515.0
26,987207009.0,721325120.0,265881889.0
27,987225471.0,721680040.0,265545431.0
28,985732040.0,721652300.0,264079740.0
29,985639730.0,721930460.0,263709270.0
30,987494618.0,725773970.0,261720648.0
31,985488414.0,722582350.0,262906064.0
32,984827945.0,711200020.0,273627925.0
33,980497158.0,711329410.0,269167748.0
34,975277842.0,708960300.0,266317542.0
35,976480406.0,709488690.0,266991716.0
36,971566256.0,700433100.0,271133156.0
37,973378428.0,701195190.0,272183238.0
38,972097672.0,701060100.0,271037572.0
39,969394980.0,699328060.0,270066920.0
40,967960374.0,696521000.0,271439374.0
41,968048702.0,696778830.0,271269872.0
42,968283459.0,696728670.0,271554789.0
43,966603417.0,694471090.0,272132327.0
44,966599797.0,690963120.0,275636677.0
45,964140731.0,690389510.0,273751221.0
46,965371712.0,692100840.0,273270872.0
47,964753054.0,692621250.0,272131804.0
48,962210728.0,692088680.0,270122048.0
49,962486934.0,692308510.0,270178424.0
50,959014630.0,687600690.0,271413940.0
51,961569626.0,691398980.0,270170646.0
52,959671479.0,689982150.0,269689329.0
53,959566318.0,687580930.0,271985388.0
54,957467442.0,683698850.0,273768592.0
55,956347776.0,683812660.0,272535116.0
56,957017114.0,683088570.0,273928544.0
57,955850026.0,682360300.0,273489726.0
58,955067925.0,682395450.0,272672475.0
59,958532265.0,685894870.0,272637395.0
60,955938173.0,680773610.0,275164563.0
61,956065778.0,681346840.0,274718938.0
62,951722864.0,674846750.0,276876114.0
63,949157008.0,673754440.0,275402568.0
64,920694758.0,596265790.0,324428968.0
65,903136672.0,577976390.0,325160282.0
66,897550650.0,571523610.0,326027040.0
67,896445102.0,573375160.0,323069942.0
68,894406499.0,568708000.0,325698499.0
69,892953974.0,567581110.0,325372864.0
70,881491787.0,554209290.0,327282497.0
71,882485839.0,557532770.0,324953069.0
72,873880013.0,543327420.0,330552593.0
73,865246313.0,540870910.0,324375403.0
74,864485208.0,541552060.0,322933148.0
75,861796815.0,538874200.0,322922615.0
76,858593477.0,529313020.0,329280457.0
77,856720489.0,528229450.0,328491039.0
78,856920675.0,528556630.0,328364045.0
79,856019295.0,530455300.0,325563995.0
80,850862424.0,519052260.0,331810164.0
81,846120224.0,513264290.0,332855934.0
82,843055170.0,509370240.0,333684930.0
83,843070012.0,508341770.0,334728242.0
84,841325715.0,508065890.0,333259825.0
85,841949803.0,508216940.0,333732863.0
86,835170991.0,503757450.0,331413541.0
87,837592047.0,506096730.0,331495317.0
88,835727204.0,505621730.0,330105474.0
89,829762168.0,500152200.0,329609968.0
90,834424728.0,507700520.0,326724208.0
91,829866967.0,504806440.0,325060527.0
92,838110069.0,510425880.0,327684189.0
93,839194440.0,509381070.0,329813370.0
94,842069806.0,510909810.0,331159996.0
95,832788126.0,502090200.0,330697926.0
96,816360023.0,468469700.0,347890323.0
97,816914607.0,473275940.0,343638667.0
98,813260760.0,467299870.0,345960890.0
99,809562025.0,467787600.0,341774425.0
100,789209299.0,431891280.0,357318019.0
101,776758671.0,426077090.0,350681581.0
102,764040344.0,411767050.0,352273294.0
103,760730035.0,411012370.0,349717665.0
104,744648366.0,390850710.0,353797656.0
105,741243756.0,385838510.0,355405246.0
106,742498810.0,390304460.0,352194350.0
107,737509726.0,382990220.0,354519506.0
108,726626377.0,371414090.0,355212287.0
109,724192289.0,370017210.0,354175079.0
110,720370112.0,363504200.0,356865912.0
111,716461598.0,358095470.0,358366128.0
112,720026212.0,367061380.0,352964832.0
113,711412422.0,355917500.0,355494922.0
114,707961476.0,356984920.0,350976556.0
115,706038351.0,355628130.0,350410221.0
116,693796959.0,342969570.0,350827389.0
117,683664217.0,339044360.0,344619857.0
118,676478155.0,332735410.0,343742745.0
119,667117559.0,328482260.0,338635299.0
120,653825643.0,309931230.0,343894413.0
121,647151811.0,307404040.0,339747771.0
122,647438696.0,312720430.0,334718266.0
123,634750958.0,307439570.0,327311388.0
124,627333216.0,306875270.0,320457946.0
125,615877726.0,300749670.0,315128056.0
126,604558167.0,292728820.0,311829347.0
127,584389699.0,281219190.0,303170509.0
