job_id,subtime,start_time,finish_time,waiting_time
1,0,0.0,1451.0,0.0
2,1460,1460.0,5186.0,0.0
3,5198,5198.0,6265.0,0.0
4,6269,6269.0,17196.0,0.0
5,17201,17201.0,20128.0,0.0
57,25574,28274.0,28284.0,2700.0
59,26613,29313.0,30029.0,2700.0
60,27331,30031.0,30038.0,2700.0
76,30304,30304.0,30480.0,0.0
62,27989,30689.0,30698.0,2700.0
77,30542,30542.0,30702.0,0.0
61,27968,30668.0,30737.0,2700.0
63,28043,30743.0,30752.0,2700.0
80,30931,30931.0,31160.0,0.0
85,31316,31316.0,31370.0,0.0
87,31658,31658.0,31707.0,0.0
65,28255,30955.0,31839.0,2700.0
72,29539,32239.0,32314.0,2700.0
74,29616,32316.0,32331.0,2700.0
93,32058,32314.0,32495.0,256.0
95,32289,32495.0,32638.0,206.0
102,32702,32702.0,32716.0,0.0
104,32974,32974.0,33025.0,0.0
106,33114,33114.0,33124.0,0.0
107,33200,33200.0,33252.0,0.0
86,31345,34045.0,34282.0,2700.0
109,33656,34282.0,34429.0,626.0
115,34421,34429.0,34450.0,8.0
90,31829,34529.0,34586.0,2700.0
91,31888,34588.0,34607.0,2700.0
119,34546,34586.0,34621.0,40.0
89,31823,34523.0,34627.0,2700.0
92,31929,34629.0,34636.0,2700.0
117,34471,34471.0,34671.0,0.0
121,34673,34673.0,34681.0,0.0
96,32435,35163.0,35170.0,2728.0
97,32463,35163.0,35222.0,2700.0
124,35269,35269.0,35276.0,0.0
122,34856,34856.0,35588.0,0.0
127,35593,35593.0,35603.0,0.0
126,35572,35572.0,35635.0,0.0
133,36027,36027.0,36080.0,0.0
128,35663,35663.0,36390.0,0.0
135,36149,36390.0,36510.0,241.0
110,33806,36520.0,36539.0,2714.0
111,33820,36520.0,36580.0,2700.0
98,32513,32638.0,36672.0,125.0
138,36451,36510.0,36676.0,59.0
141,36709,36709.0,36860.0,0.0
142,36716,36716.0,37006.0,0.0
140,36641,36676.0,37461.0,35.0
147,37304,37461.0,37613.0,157.0
154,37562,37613.0,37749.0,51.0
155,37701,37749.0,37921.0,48.0
157,37877,37921.0,38487.0,44.0
137,36396,39096.0,39104.0,2700.0
136,36204,39090.0,39223.0,2886.0
159,37905,38487.0,39294.0,582.0
163,38716,39294.0,39301.0,578.0
146,37087,39787.0,39910.0,2700.0
170,40045,40045.0,40048.0,0.0
150,37436,40139.0,40168.0,2703.0
151,37439,40139.0,40210.0,2700.0
144,36965,39727.0,40320.0,2762.0
173,40393,40393.0,40471.0,0.0
156,37826,40526.0,40595.0,2700.0
