id,energy_consumption,energy_effective,energy_waste
0,932370117.0,671249290.0,261120827.0
1,943061968.0,695251230.0,247810738.0
2,944178195.0,700720190.0,243458005.0
3,947039624.0,706972520.0,240067104.0
4,948451243.0,709768750.0,238682493.0
5,941550980.0,704217900.0,237333080.0
6,937287344.0,696251390.0,241035954.0
7,938712900.0,696691240.0,242021660.0
8,935775632.0,696030040.0,239745592.0
9,928816906.0,683423160.0,245393746.0
10,931869290.0,687498280.0,244371010.0
11,932408670.0,686382600.0,246026070.0
12,931158865.0,688370950.0,242787915.0
13,930278300.0,687623300.0,242655000.0
14,928586674.0,686492990.0,242093684.0
15,917418250.0,672052610.0,245365640.0
16,927670271.0,688898960.0,238771311.0
17,921070830.0,684647520.0,236423310.0
18,922577474.0,690745760.0,231831714.0
19,925588409.0,690631760.0,234956649.0
20,919116573.0,684472530.0,234644043.0
21,917804323.0,684071250.0,233733073.0
22,913283848.0,676709890.0,236573958.0
23,914933120.0,677048470.0,237884650.0
24,912421926.0,676965820.0,235456106.0
25,912644737.0,679472300.0,233172437.0
26,908982926.0,675393950.0,233588976.0
27,910975374.0,680120960.0,230854414.0
28,913364574.0,684626810.0,228737764.0
29,911580095.0,680968170.0,230611925.0
30,918469136.0,687186870.0,231282266.0
31,918531219.0,684400330.0,234130889.0
32,911713130.0,673089630.0,238623500.0
33,914002599.0,681343230.0,232659369.0
34,912591885.0,679781620.0,232810265.0
35,909924126.0,675252970.0,234671156.0
36,921858361.0,692385650.0,229472711.0
37,922064158.0,691336850.0,230727308.0
38,921540887.0,691411520.0,230129367.0
39,917709479.0,688894590.0,228814889.0
40,915474129.0,688539480.0,226934649.0
41,917595087.0,689950040.0,227645047.0
42,918003604.0,686716430.0,231287174.0
43,920213795.0,688235290.0,231978505.0
44,918144603.0,688259610.0,229884993.0
45,917108559.0,688217620.0,228890939.0
46,919110419.0,690142320.0,228968099.0
47,915711782.0,686768300.0,228943482.0
48,912173775.0,679274320.0,232899455.0
49,911434571.0,677818350.0,233616221.0
50,908088062.0,679541840.0,228546222.0
51,909812449.0,682092210.0,227720239.0
52,917221322.0,690825370.0,226395952.0
53,912938681.0,688042060.0,224896621.0
54,911004877.0,685899240.0,225105637.0
55,908043355.0,681608660.0,226434695.0
56,904888887.0,673336250.0,231552637.0
57,900026141.0,671053590.0,228972551.0
58,905405280.0,674602980.0,230802300.0
59,904167059.0,672114360.0,232052699.0
60,901960307.0,671040860.0,230919447.0
61,899813285.0,666143230.0,233670055.0
62,889948242.0,660171720.0,229776522.0
63,893122620.0,660992900.0,232129720.0
64,857940021.0,603220360.0,254719661.0
65,841478433.0,576363480.0,265114953.0
66,834804601.0,579535150.0,255269451.0
67,833183022.0,578641580.0,254541442.0
68,827825060.0,567169950.0,260655110.0
69,820839184.0,562378910.0,258460274.0
70,820915747.0,565288190.0,255627557.0
71,817036012.0,561766730.0,255269282.0
72,813289131.0,555442580.0,257846551.0
73,816073635.0,561368490.0,254705145.0
74,814630884.0,560323110.0,254307774.0
75,819728206.0,569440260.0,250287946.0
76,821656218.0,570802180.0,250854038.0
77,821253674.0,569629120.0,251624554.0
78,818466998.0,565727280.0,252739718.0
79,821804276.0,570444410.0,251359866.0
80,807127710.0,553327310.0,253800400.0
81,805669936.0,554984110.0,250685826.0
82,810817033.0,564242240.0,246574793.0
83,808623313.0,560805140.0,247818173.0
84,802954574.0,552158050.0,250796524.0
85,801479424.0,552628110.0,248851314.0
86,801366480.0,552770800.0,248595680.0
87,797873904.0,545656060.0,252217844.0
88,794568482.0,545005500.0,249562982.0
89,787813200.0,531128090.0,256685110.0
90,787680889.0,529873900.0,257806989.0
91,787418258.0,527112250.0,260306008.0
92,790074433.0,529665090.0,260409343.0
93,791475554.0,530315080.0,261160474.0
94,785534953.0,526939730.0,258595223.0
95,785898763.0,529768070.0,256130693.0
96,779187826.0,515865200.0,263322626.0
97,768579235.0,504259430.0,264319805.0
98,765610292.0,504923670.0,260686622.0
99,762571121.0,500988200.0,261582921.0
100,737698463.0,461845160.0,275853303.0
101,732338510.0,458132750.0,274205760.0
102,718184853.0,445543350.0,272641503.0
103,712921554.0,442473330.0,270448224.0
104,722939180.0,445078610.0,277860570.0
105,713167895.0,431339330.0,281828565.0
106,706722666.0,434258870.0,272463796.0
107,702505909.0,420953360.0,281552549.0
108,690492939.0,413867500.0,276625439.0
109,679757286.0,402406700.0,277350586.0
110,683398644.0,409604850.0,273793794.0
111,670236324.0,389193910.0,281042414.0
112,688654341.0,414993250.0,273661091.0
113,684734967.0,415268560.0,269466407.0
114,679248495.0,408383530.0,270864965.0
115,676678657.0,411076970.0,265601687.0
116,666905200.0,393450670.0,273454530.0
117,655716142.0,379734570.0,275981572.0
118,647424713.0,366743890.0,280680823.0
119,642050461.0,360343170.0,281707291.0
120,658467523.0,384402110.0,274065413.0
121,649199780.0,371792570.0,277407210.0
122,643759644.0,364922550.0,278837094.0
123,639624699.0,367378680.0,272246019.0
124,618988889.0,348903080.0,270085809.0
125,613576265.0,346740880.0,266835385.0
126,608514600.0,340923270.0,267591330.0
127,577975375.0,313005620.0,264969755.0
